Team,Week 0,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17,Week 18

Arizona Cardinals,0,16,44,72,88,108,117,127,151,151,176,192,206,230,230,259,275,310,330

Atlanta Falcons,0,24,49,55,62,83,99,115,138,166,189,189,213,226,251,258,287,304,321

Baltimore Ravens,0,25,52,71,99,109,133,171,202,239,270,304,324,324,361,384,417,473,483

Buffalo Bills,0,16,54,91,139,159,173,198,222,240,262,294,328,328,348,379,403,430,451

Carolina Panthers,0,10,27,54,67,91,112,112,127,140,153,163,173,191,197,206,236,236,236

Chicago Bears,0,20,37,47,75,115,128,158,171,188,204,230,242,242,270,287,314,351,360

Cincinnati Bengals,0,3,27,46,49,83,100,100,131,155,182,202,212,246,280,307,318,335,366

Cleveland Browns,0,24,46,73,76,76,95,134,154,181,214,227,239,258,289,309,345,382,396

Dallas Cowboys,0,40,70,86,124,134,154,154,197,220,269,302,347,388,421,431,451,471,509

Denver Broncos,0,16,49,69,100,121,129,148,172,172,196,217,246,263,287,304,327,343,357

Detroit Lions,0,21,52,72,106,148,168,174,200,200,241,272,294,327,340,382,412,431,461

Green Bay Packers,0,38,62,80,100,113,113,130,140,160,179,202,231,258,280,300,333,366,383

Houston Texans,0,9,29,66,96,115,135,135,148,187,217,238,259,281,287,306,328,354,377

Indianapolis Colts,0,21,52,74,97,120,140,178,205,232,242,242,269,300,314,344,354,377,396

Jacksonville Jaguars,0,31,40,57,80,105,142,173,193,193,196,230,254,285,312,319,331,357,377

Kansas City Chiefs,0,20,37,78,101,128,147,178,187,208,208,225,256,275,292,319,333,358,371

Las Vegas Raiders,0,17,27,45,62,79,100,112,126,156,172,185,202,202,202,265,285,305,332

Los Angeles Chargers,0,34,58,86,110,110,127,144,174,201,239,259,269,275,282,303,325,334,346

Los Angeles Rams,0,30,53,69,98,112,138,155,175,178,178,195,232,268,299,327,357,383,404

Miami Dolphins,0,36,60,130,150,181,223,240,271,285,285,305,339,384,411,441,463,482,496

Minnesota Vikings,0,17,45,69,90,110,129,151,175,206,233,253,263,263,266,290,314,324,344

New England Patriots,0,20,37,52,55,55,72,101,118,135,141,141,148,148,169,186,212,233,236

New Orleans Saints,0,16,36,53,62,96,109,133,171,195,214,214,229,257,285,309,331,354,402

New York Giants,0,0,31,43,46,62,71,85,95,101,118,149,159,159,183,189,214,239,266

New York Jets,0,22,32,42,62,93,113,113,126,132,144,150,163,171,201,201,231,251,268

Philadelphia Eagles,0,25,59,84,118,141,155,186,224,252,252,273,310,329,342,359,392,423,433

Pittsburgh Steelers,0,7,33,56,62,79,79,103,113,133,156,166,182,192,210,223,257,287,304

San Francisco 49ers,0,30,60,90,125,167,184,201,218,218,252,279,310,352,380,425,444,471,491

Seattle Seahawks,0,13,50,87,111,111,124,144,168,171,200,216,229,264,280,300,320,343,364

Tampa Bay Buccaneers,0,20,47,58,84,84,90,103,121,158,178,192,212,233,262,296,326,339,348

Tennessee Titans,0,15,42,45,72,88,104,104,132,148,154,168,185,213,241,257,274,277,305

Washington Commanders,0,20,55,58,89,109,133,140,171,191,217,236,246,261,261,281,309,319,329

